fight_id,fighter_name,height_disp,age_disp,knockdowns_disp,sig_strikes_landed_disp,total_strikes_attempted_disp,takedowns_landed_disp,takedowns_attempted_disp,sub_attemps_disp,control_time_disp,body_strikes_landed_disp,leg_strikes_landed_disp,outcome
1281,Brandon Moreno,2.0,-3.700000000000003,0.0,-24.0,-40.0,1.0,4.0,0.0,-0.9700000000000001,-2.0,-4.0,0.0
1282,Enrique Barzola,-3.0,1.1000000000000014,0.0,16.0,46.0,8.0,13.0,1.0,4.48,2.0,3.0,1.0
1282,Brandon Davis,3.0,-1.1000000000000014,0.0,-16.0,-46.0,-8.0,-13.0,-1.0,-4.48,-2.0,-3.0,0.0
1283,Claudio Puelles,-2.0,-11.899999999999999,0.0,-37.0,-94.0,1.0,5.0,0.0,-0.6599999999999999,-5.0,-7.0,1.0
1283,Felipe Silva,2.0,11.899999999999999,0.0,37.0,94.0,-1.0,-5.0,0.0,0.6599999999999999,5.0,7.0,0.0
1284,Kelvin Gastelum,-4.0,-11.899999999999999,1.0,-14.0,-7.0,0.0,-5.0,-1.0,-2.4899999999999998,-10.0,2.0,1.0
1284,Jacare Souza,4.0,11.899999999999999,-1.0,14.0,7.0,0.0,5.0,1.0,2.4899999999999998,10.0,-2.0,0.0
1285,John Lineker,-3.0,-3.8000000000000007,1.0,46.0,99.0,0.0,-3.0,0.0,1.08,23.0,3.0,1.0
1285,Brian Kelleher,3.0,3.8000000000000007,-1.0,-46.0,-99.0,0.0,3.0,0.0,-1.08,-23.0,-3.0,0.0
1286,Jack Hermansson,0.0,-6.800000000000004,0.0,7.0,21.0,1.0,-5.0,-2.0,-5.630000000000001,3.0,1.0,1.0
1286,Thales Leites,-0.0,6.800000000000004,0.0,-7.0,-21.0,-1.0,5.0,2.0,5.630000000000001,-3.0,-1.0,0.0
1287,Ramazan Emeev,-2.0,-5.0,0.0,17.0,26.0,2.0,1.0,0.0,4.77,2.0,-1.0,1.0
1287,Alberto Mina,2.0,5.0,0.0,-17.0,-26.0,-2.0,-1.0,0.0,-4.77,-2.0,1.0,0.0
1288,Frankie Edgar,-2.0,2.0,0.0,6.0,4.0,0.0,6.0,0.0,0.23,-2.0,10.0,1.0
1288,Cub Swanson,2.0,-2.0,0.0,-6.0,-4.0,0.0,-6.0,0.0,-0.23,2.0,-10.0,0.0
1289,Justin Willis,-3.0,2.400000000000002,1.0,21.0,10.0,1.0,1.0,0.0,1.7,-5.0,-10.0,1.0
1289,Chase Sherman,3.0,-2.400000000000002,-1.0,-21.0,-10.0,-1.0,-1.0,0.0,-1.7,5.0,10.0,0.0
1290,Aljamain Sterling,0.0,2.5,0.0,41.0,35.0,0.0,1.0,0.0,-1.7500000000000002,22.0,7.0,1.0
1290,Brett Johns,-0.0,-2.5,0.0,-41.0,-35.0,0.0,-1.0,0.0,1.7500000000000002,-22.0,-7.0,0.0
1291,Ryan LaFlare,4.0,3.8000000000000007,0.0,6.0,6.0,-2.0,1.0,0.0,2.96,9.0,2.0,1.0
1291,Alex Garcia,-4.0,-3.8000000000000007,0.0,-6.0,-6.0,2.0,-1.0,0.0,-2.96,-9.0,-2.0,0.0
1292,Ricky Simon,0.0,-1.6999999999999993,-1.0,-17.0,-86.0,-4.0,-12.0,0.0,-1.52,0.0,-7.0,1.0
1292,Merab Dvalishvili,-0.0,1.6999999999999993,1.0,17.0,86.0,4.0,12.0,0.0,1.52,0.0,7.0,0.0
1293,Corey Anderson,1.0,-8.799999999999997,0.0,33.0,26.0,7.0,6.0,0.0,3.3499999999999996,1.0,1.0,1.0
1293,Patrick Cummins,-1.0,8.799999999999997,0.0,-33.0,-26.0,-7.0,-6.0,0.0,-3.3499999999999996,-1.0,-1.0,0.0
1294,Anthony Rocco Martin,1.0,-5.5,0.0,15.0,33.0,-1.0,-2.0,1.0,-0.98,-1.0,1.0,1.0
1294,Keita Nakamura,-1.0,5.5,0.0,-15.0,-33.0,1.0,2.0,-1.0,0.98,1.0,-1.0,0.0
